map_name, network_mode, number_of_agents, iteration, is_sat, solver_time, overall_time, paths_lens, overall_fuel, overall_flow_values
-------------------------------------------------------------------------------------------------------------------------------------

maze-32.map, stays, 10, 1, False, 21.09749960899353, 81.51776337623596, {}, 0, 9
maze-32.map, hot_swapping-2, 10, 1, False, 30.41051959991455, 97.32677459716797, {}, 0, 10
maze-32.map, disappearing, 10, 1, False, 26.608887910842896, 93.94610452651978, {}, 0, 9
maze-32.map, hot_swapping-0, 10, 1, False, 27.081493854522705, 96.68976378440857, {}, 0, 10
maze-32.map, stays, 10, 2, False, 11.703871250152588, 46.835556507110596, {}, 0, 9
maze-32.map, hot_swapping-2, 10, 2, False, 18.93700647354126, 56.88964343070984, {}, 0, 9
maze-32.map, disappearing, 10, 2, False, 11.475276470184326, 46.27236366271973, {}, 0, 9
maze-32.map, hot_swapping-0, 10, 2, False, 17.5411274433136, 55.76109075546265, {}, 0, 9
maze-32.map, stays, 10, 3, False, 26.435253381729126, 92.8074140548706, {}, 0, 8
maze-32.map, hot_swapping-2, 10, 3, False, 42.69275617599487, 106.19441890716553, {}, 0, 10
maze-32.map, disappearing, 10, 3, False, 23.273398876190186, 88.19638562202454, {}, 0, 8
maze-32.map, hot_swapping-0, 10, 3, False, 57.68811011314392, 116.7899398803711, {}, 0, 10
maze-32.map, stays, 10, 4, False, 19.19070863723755, 64.71544075012207, {}, 0, 9
maze-32.map, hot_swapping-2, 10, 4, False, 23.405290603637695, 69.77640438079834, {}, 0, 10
maze-32.map, disappearing, 10, 4, True, 17.46508240699768, 63.427467823028564, {'a0': 35, 'a4': 71, 'a8': 3, 'a3': 6, 'a1': 43, 'a9': 28, 'a7': 103, 'a5': 3, 'a2': 44, 'a6': 16}, 352, 10
maze-32.map, hot_swapping-0, 10, 4, True, 49.5200617313385, 100.10469889640808, {'a0': 35, 'a4': 74, 'a8': 3, 'a3': 9, 'a1': 25, 'a9': 39, 'a7': 84, 'a5': 19, 'a2': 46, 'a6': 18}, 352, 10
maze-32.map, stays, 10, 5, False, 16.100337028503418, 67.18890810012817, {}, 0, 9
maze-32.map, hot_swapping-2, 10, 5, False, 70.68663454055786, 128.17002034187317, {}, 0, 10
maze-32.map, disappearing, 10, 5, False, 22.808814764022827, 76.01408958435059, {}, 0, 9
maze-32.map, hot_swapping-0, 10, 5, False, 56.74897336959839, 113.53473663330078, {}, 0, 10
maze-32.map, stays, 10, 6, False, 19.443689823150635, 75.61509943008423, {}, 0, 9
maze-32.map, hot_swapping-2, 10, 6, False, 40.718950510025024, 104.83359885215759, {}, 0, 10
maze-32.map, disappearing, 10, 6, False, 21.516581535339355, 83.20945382118225, {}, 0, 9
maze-32.map, hot_swapping-0, 10, 6, False, 49.01938509941101, 109.99190878868103, {}, 0, 10
maze-32.map, stays, 10, 7, False, 18.408427953720093, 65.63723731040955, {}, 0, 9
maze-32.map, hot_swapping-2, 10, 7, False, 19.377870321273804, 68.23515343666077, {}, 0, 10
maze-32.map, disappearing, 10, 7, False, 19.73160743713379, 69.06173658370972, {}, 0, 9
