map_name, network_mode, number_of_agents, iteration, is_sat, solver_time, overall_time, paths_lens, overall_fuel, overall_flow_values
-------------------------------------------------------------------------------------------------------------------------------------

maze-32.map, stays, 10, 1, False, 11.573374032974243, 78.7966251373291, {}, 0, 7
maze-32.map, hot_swapping-2, 10, 1, False, 25.901484489440918, 96.18919920921326, {}, 0, 9
maze-32.map, disappearing, 10, 1, False, 16.95913863182068, 87.94105768203735, {}, 0, 7
maze-32.map, hot_swapping-0, 10, 1, False, 36.89349699020386, 107.65334296226501, {}, 0, 10
maze-32.map, stays, 10, 2, False, 11.294280529022217, 67.59130930900574, {}, 0, 7
maze-32.map, hot_swapping-2, 10, 2, False, 19.527729988098145, 77.7513267993927, {}, 0, 10
maze-32.map, disappearing, 10, 2, False, 12.95176386833191, 71.05074191093445, {}, 0, 8
maze-32.map, hot_swapping-0, 10, 2, False, 20.413644313812256, 78.64035272598267, {}, 0, 10
maze-32.map, stays, 10, 3, False, 22.704591989517212, 87.55031728744507, {}, 0, 8
maze-32.map, hot_swapping-2, 10, 3, False, 25.86054015159607, 93.6106767654419, {}, 0, 9
maze-32.map, disappearing, 10, 3, False, 19.538180112838745, 87.61982703208923, {}, 0, 8
maze-32.map, hot_swapping-0, 10, 3, False, 30.50619673728943, 98.441401720047, {}, 0, 10
maze-32.map, stays, 10, 4, False, 23.182618856430054, 99.63234210014343, {}, 0, 7
maze-32.map, hot_swapping-2, 10, 4, False, 9.50715184211731, 89.64109253883362, {}, 0, 10
maze-32.map, disappearing, 10, 4, False, 41.63241624832153, 121.5903012752533, {}, 0, 8
maze-32.map, hot_swapping-0, 10, 4, False, 18.829813480377197, 97.004643201828, {}, 0, 10
maze-32.map, stays, 10, 5, False, 23.639793157577515, 101.5188570022583, {}, 0, 8
maze-32.map, hot_swapping-2, 10, 5, False, 59.4674072265625, 139.25189065933228, {}, 0, 10
maze-32.map, disappearing, 10, 5, False, 22.71495032310486, 101.9491012096405, {}, 0, 8
maze-32.map, hot_swapping-0, 10, 5, False, 56.221176624298096, 135.75458669662476, {}, 0, 10
maze-32.map, stays, 10, 6, False, 15.203259468078613, 91.22694325447083, {}, 0, 7
maze-32.map, hot_swapping-2, 10, 6, False, 10.619937658309937, 89.5448248386383, {}, 0, 10
maze-32.map, disappearing, 10, 6, False, 17.439409732818604, 96.08638715744019, {}, 0, 7
maze-32.map, hot_swapping-0, 10, 6, False, 16.174158811569214, 95.17356991767883, {}, 0, 10
maze-32.map, stays, 10, 7, False, 10.834781885147095, 71.24481582641602, {}, 0, 8
maze-32.map, hot_swapping-2, 10, 7, False, 21.97815442085266, 83.76769471168518, {}, 0, 9
maze-32.map, disappearing, 10, 7, False, 13.680207967758179, 75.08337831497192, {}, 0, 8
maze-32.map, hot_swapping-0, 10, 7, False, 24.9910991191864, 86.7804639339447, {}, 0, 9
maze-32.map, stays, 10, 8, False, 14.882036924362183, 68.09435677528381, {}, 0, 9
maze-32.map, hot_swapping-2, 10, 8, False, 18.042085647583008, 72.01023411750793, {}, 0, 10
maze-32.map, disappearing, 10, 8, False, 14.578448057174683, 68.29772901535034, {}, 0, 9
